config,test_cases,answerable_cases,unanswerable_cases,hit_rate,mrr,precision,recall,ndcg,faithfulness,answer_relevancy,correctness,retrieval_seconds,generation_and_judging_seconds,total_seconds
vector,60,58,2,0.9827586206896551,0.8669540229885058,0.29281609195402303,0.9827586206896551,0.8970857542205927,,,,0.3472133333333333,0.0,0.3472133333333333
graph,60,58,2,0.7068965517241379,0.6484526967285589,0.390570923329544,0.6810344827586207,0.6425999069645982,,,,4.0463466666666665,0.0,4.0463466666666665
hybrid,60,58,2,0.9655172413793104,0.800287356321839,0.2910919540229885,0.9482758620689655,0.8286325919170786,,,,4.371776666666666,0.0,4.371776666666666
full,60,58,2,1.0,0.8635057471264368,0.3247126436781609,0.9913793103448276,0.8904708126640768,,,,36.29741666666666,0.0,36.29741666666666
